circRNA,disease,label,used
circnek6,thyroid neoplasms,1,True
circ-banp,lung neoplasms,1,True
circmtdh.4,"carcinoma, non-small-cell lung",1,True
circpcnxl2,"carcinoma, renal cell",1,True
circdennd4c,breast neoplasms,1,True
hsa_circ_0141940,prostatic neoplasms,1,True
hsa_circ_0032891,multiple system atrophy,1,True
circslc7a6,prostatic neoplasms,1,True
circrna_0086376,acne vulgaris,1,True
circ-abcb10,"carcinoma, ovarian epithelial",1,True
hsa_circ_103783,leukoaraiosis,1,True
hsa_circ_0070963,liver cirrhosis,1,True
hsa_circ_0009361,colorectal neoplasms,1,True
hsa_circrna_105055,colorectal neoplasms,1,True
circccdc66,breast neoplasms,1,True
cirs-133,stomach neoplasms,1,True
hsa_circ_0053743,facet joint osteoarthritis,1,True
hsa_circ_0033550,uterine cervical neoplasms,1,True
circrna_11017,rheumatic heart disease,1,True
circptpn22,"lupus erythematosus, systemic",1,True
hsa_circ_0005442,pre-eclampsia,1,True
hsa_circ_0024892,multiple sclerosis,1,True
hsa_circ_0087206,diabetic retinopathy,1,True
hsa_circ_0082824,coronary artery disease,1,True
circadamts13,"carcinoma, hepatocellular",1,True
hsa_circ_003524,"arthritis, rheumatoid",1,True
hsa_circ_0057093,diabetic retinopathy,1,True
circzc3h4,silicosis,1,True
hsa_circ_0015756,"carcinoma, hepatocellular",1,True
hsa_circ_0123996,mucocutaneous lymph node syndrome,1,True
hsa_circrna_404457,diabetic retinopathy,1,True
hsa_circ_0001821,lung neoplasms,1,True
circnt5e,glioblastoma,1,True
hsa_circ_0059655,salivary adenoid cystic carcinoma,1,True
circ-rangap1,stomach neoplasms,1,True
circpip5k1a,colonic neoplasms,1,True
circkdm4c,breast neoplasms,1,True
hsa_circ_00001666,colonic neoplasms,1,True
hsa_circ_0023115,endometriosis,1,True
hsa_circ_0042666,squamous cell carcinoma of head and neck,1,True
hsa_circ_0009910,"leukemia, myeloid, acute",1,True
hsa_circ_0001546,stomach neoplasms,1,True
hsa_circ_0005870,hypertension,1,True
hsa_circ_0092012,squamous cell carcinoma of head and neck,1,True
hsa_circ_0001866,"lupus erythematosus, systemic",1,True
hsa_circrna_014213,"thyroid cancer, papillary",1,True
hsa_circrna_001654,infantile hemangioma,1,True
circ-nsd2,colorectal neoplasms,1,True
hsa_circ_0074026,glioma,1,True
hsa_circ_0043497,tuberculosis,1,True
hsa_circ_0005105,osteoarthritis,1,True
hsa-circ-0040809,hypertension,1,True
hsa_circ_0000175,lupus nephritis,1,True
hsa_circrna_104387,diabetic retinopathy,1,True
circ-dicer1,mucocutaneous lymph node syndrome,0,True
hsa_circ_0051240,ovarian neoplasms,1,True
hsa_circ_0001772,stomach neoplasms,1,True
hsa_circ_0002142,glioma,1,True
circrna_atp9b,osteoarthritis,1,True
hsa_circ_0072391,hepatoblastoma,1,True
hsa_circ_0078767,"carcinoma, non-small-cell lung",1,True
hsa_circ_007850,fatty liver,1,True
cdr1as,triple negative breast neoplasms,1,True
hsa_circ_0127621,"lymphoma, large b-cell, diffuse",1,True
circfat1,osteosarcoma,1,True
hsa_circ_0000144,urinary bladder neoplasms,1,True
hsa_circrna_102296,active tuberculosis,1,True
hsa_circ_0008039,breast neoplasms,1,True
hsa_circ_0002113,sciatica,0,True
circhectd1,stomach neoplasms,1,True
hsa_circ_0079593,glioma,1,True
circmyo10,osteosarcoma,1,True
hsa_circ_0001275,"osteoporosis, postmenopausal",1,True
circusp45,glucocorticoid-induced osteonecrosis of femoral head,1,True
circehmt1,breast neoplasms,1,True
circpum1,adenocarcinoma of lung,1,True
hsa_circ_0000911,breast neoplasms,1,True
hsa_circ_0061140,endometrial neoplasms,1,True
circ-cspp1,ovarian neoplasms,1,True
hsa_circ_0054633,"diabetes mellitus, type 2",1,True
hsa_circ_0009128,active pulmonary tuberculosis,1,True
circ-satb2,coronary atherosclerotic heart disease,1,True
cmras,adenocarcinoma of lung,1,True
hsa_circ_0015758,glioma,1,True
hsa_circ_0006404,myocardial senescence,1,True
circ-abcb10,"carcinoma, hepatocellular",1,True
hsa_circ_0000993,stomach neoplasms,1,True
hsa_circrna_003251,t2dm with depression,1,True
hsa_circ_100219,breast neoplasms,1,True
circ-iars,pancreatic neoplasms,1,True
hsa_circ_0026344,colorectal neoplasms,1,True
hsa_circ_0001427,"prostatic neoplasms, castration-resistant",1,True
hsa_circ_0053277,colorectal neoplasms,1,True
cdr1as,stomach neoplasms,1,True
hsa_circ_0001564,osteosarcoma,1,True
hsa_circ_0002569,moyamoya disease,1,True
hsa_circrna_101996,uterine cervical neoplasms,1,True
circrna_0018168,acne vulgaris,1,True
cznf609,lymphangiogenesis,1,True
circ_slc19a1,prostatic neoplasms,1,True
hsa_circ_0052012,"arthritis, rheumatoid",1,True
hsa_circ_0087215,diabetic retinopathy,1,True
hsa_circ_0008615,"lupus erythematosus, systemic",1,True
circepsti1,ovarian neoplasms,1,True
circhiat1,"carcinoma, renal cell",1,True
hsa_circ_0062557,endometriosis,1,True
hsa_circ_0002078,moyamoya disease,1,True
circatp2b1,"carcinoma, renal cell",1,True
cttn1,heart failure,1,True
circ_0004712,endometriosis,1,True
hsa_circ_0008287,hypopharyngeal neoplasms,1,True
circrna_000911,breast neoplasms,1,True
circtp63,lung squamous cell carcinoma,1,True
hsa_circ_0067209,moyamoya disease,1,True
hsa_circrna_002178,breast neoplasms,1,True
hsa_circ_0108308,multiple system atrophy,1,True
circgfra1,lung neoplasms,1,True
hsa_circrna_005019,t2dm with depression,1,True
hsa_circ_0005986,"carcinoma, hepatocellular",1,True
circhipk3,breast neoplasms,1,True
circpsmc3,stomach neoplasms,1,True
circ-eif4g3,stomach neoplasms,1,True
circnasp,osteosarcoma,1,True
circclk3,uterine cervical neoplasms,1,True
hsa_circ_0000204,"carcinoma, hepatocellular",1,True
hsa_circ_0056048,"depressive disorder, major",1,True
hsa_circ_000839,"carcinoma, hepatocellular",1,True
circ_sdha,primary great saphenous vein varicosities,1,True
hsa_circ_0061893,irradiated hepatic stellate cell,1,True
hsa_circrna_050898,moyamoya disease,1,True
circzc3h4,diabetes mellitus,0,True
circmat2b,"carcinoma, hepatocellular",1,True
hsa_circ_0070934,"tuberculosis, pulmonary",0,True
circepsti1,osteosarcoma,1,True
circpvt1,precursor cell lymphoblastic leukemia-lymphoma,1,True
hsa_circ_0054537,coronary artery disease,1,True
cttn2,heart failure,1,True
hsa_circrna_103809,lung neoplasms,1,True
hsa_circ_0088732,glioma,1,True
circnup214,"thyroid cancer, papillary",1,True
hsa_circ6510-1,coronary artery disease,1,True
cbl.11,colorectal neoplasms,1,True
circ-lamp1,precursor t-cell lymphoblastic leukemia-lymphoma,1,True
hsa_circ_0001410,"depressive disorder, major",1,True
circ-abcb10,lung neoplasms,1,True
hsa_circrna_100533,squamous cell carcinoma of head and neck,1,True
hsa_circ_0001742,lymphangiogenesis,0,True
circfoxo3,cardiac senescence,1,True
hsa_circ_0002062,chronic thromboembolic pulmonary hypertension,1,True
hsa_circ_0074027,glioblastoma,1,True
circ-foxo3,urinary bladder neoplasms,1,True
hsa_circ_0000092,"carcinoma, hepatocellular",1,True
hsa_circ_0004136,"leukemia, myeloid, acute",1,True
circrna_09993,"tuberculosis, pulmonary",1,True
hsa_circ_0067934,uterine cervical neoplasms,1,True
circfarsa,"carcinoma, non-small-cell lung",1,True
hsa_circ_0005218,pre-eclampsia,1,True
circ-ezh2,glioma,1,True
hsa_circ_0005519,asthma,1,True
hsa_circ_0029601,pre-eclampsia,1,True
hsa_circ_0006801,"osteoporosis, postmenopausal",1,True
circrna_100876,osteosarcoma,1,True
circrna6783,herpes simplex,1,True
hsa_circ_0001897,stomach neoplasms,1,True
hsa_circ_0000495,squamous cell carcinoma of head and neck,1,True
hsa_circrna_004183,repeated implantation failure,1,True
circrna_15698,diabetic nephropathies,1,True
circ_slc19a1,sciatica,0,True
circubxn7,urinary bladder neoplasms,1,True
hsa_circ_0072995,breast neoplasms,1,True
circ-pkd2,"prostatic neoplasms, castration-resistant",0,True
hsa_circ_0012342,"carcinoma, mucoepidermoid",1,True
circ kmt2e,"diabetes, gestational",0,True
hsa_circ_0001206,prostatic neoplasms,1,True
hsa-circrna-102685,crohn disease,1,True
hsa_circ_0113854,coronary artery disease,1,True
circhipk3,gallbladder neoplasms,1,True
hsa_circ_0000378,"lymphoma, large b-cell, diffuse",0,True
hsa_circ_0061140,"carcinoma, mucoepidermoid",0,True
hsa_circ_0028882,"osteoporosis, postmenopausal",1,True
circ-cep85l,stomach neoplasms,1,True
hsa_circ_0008887,immunosenescence,1,True
hsa_circ_0103552,breast neoplasms,1,True
hsa_circ_0000792,adenocarcinoma of lung,1,True
hsa_circ_0056618,stomach neoplasms,1,True
hsa_circ_0088452,active pulmonary tuberculosis,1,True
hsa_circrna_0007874,"carcinoma, hepatocellular",1,True
hsa_circ_0004390,ovarian neoplasms,1,True
hsa_circ_0005540,multiple system atrophy,1,True
hsa_circ_004121,fatty liver,1,True
circrna_13478,"tuberculosis, pulmonary",1,True
hsa_circ_0012384,"carcinoma, non-small-cell lung",1,True
circatxn7,stomach neoplasms,1,True
hsa_circrna_001937,active tuberculosis,1,True
hsa_circ_0098964,coronary artery disease,1,True
hsa_circ_0019069,diabetic retinopathy,1,True
circ_efcab2,"epilepsy, temporal lobe",1,True
hsa_circ_0075341,uterine cervical neoplasms,1,True
circ-acaca,"carcinoma, non-small-cell lung",1,True
hsa_circ_0056288,osteosarcoma,1,True
circdlgap4,ischemic stroke,1,True
hsa_circ_0000190,multiple myeloma,1,True
hsa_circ_0003028,liver neoplasms,1,True
hsa_circ_0004928,stomach neoplasms,1,True
hsa_circ_0106803,multiple sclerosis,1,True
circrgnef,urinary bladder neoplasms,1,True
circtnfrsf21,endometrial neoplasms,1,True
hsa_circ_0008234,gallbladder neoplasms,1,True
circ_specc1,stomach neoplasms,1,True
circ-eno1,adenocarcinoma of lung,1,True
hsa_circrna_103047,"arthritis, rheumatoid",1,True
hsa_circrna_101764,"carcinoma, hepatocellular",1,True
circpan3,"leukemia, myeloid, acute",1,True
hsa_circ_0000729,adenocarcinoma of lung,1,True
circ_orc2,osteosarcoma,1,True
hsa_circ_0007294,triple negative breast neoplasms,1,True
hsa_circ_087631,"liver cirrhosis, biliary",1,True
circuvrag,urinary bladder neoplasms,1,True
has_circ_0049220,"lupus erythematosus, systemic",1,True
circpcnx,"carcinoma, hepatocellular",1,True
hsa-circ-0000437,hypertension,1,True
hsa_circ_0001785,osteosarcoma,1,True
circbmpr2,breast neoplasms,1,True
circrna_0084927,acne vulgaris,1,True
hsa_circrna_406557,prostatic neoplasms,1,True
circp4hb,"carcinoma, non-small-cell lung",1,True
circfgfr1,"carcinoma, non-small-cell lung",1,True
circamotl1l,prostatic neoplasms,1,True
hsa_circ_0000199,stomach neoplasms,1,True
hsa_circ_102470,leukoaraiosis,1,True
hsa_circrna_091692,active tuberculosis,1,True
hsa_circ_0039569,endometrial neoplasms,1,True
circmllt10,stomach neoplasms,1,True
hsa_circ_101873,"arthritis, rheumatoid",1,True
circrna_100146,"carcinoma, non-small-cell lung",1,True
circ-hipk2,"leukemia, promyelocytic, acute",1,True
hsa_circ_0051443,"carcinoma, hepatocellular",1,True
hsa_circrna_100914,moyamoya disease,1,True
circtcf25,osteosarcoma,1,True
circanks1b,colorectal neoplasms,1,True
hsa_circ_0002211,colorectal neoplasms,1,True
circlarp4,"carcinoma, hepatocellular",1,True
hsa_circ_0081143,stomach neoplasms,1,True
hsa_circ_0007843,colonic neoplasms,1,True
cbl.11,"leukemia, myeloid, acute",0,True
hsa_circ_0043949,glioblastoma,1,True
hsa_circ_0004214,uterine cervical neoplasms,1,True
hsa_circ_0001727,"carcinoma, non-small-cell lung",1,True
hsa_circ_0041103,urinary bladder neoplasms,1,True
circrna_8924,uterine cervical neoplasms,1,True
circgucy1a2,prostatic neoplasms,1,True
hsa_circ_0000414,"tuberculosis, pulmonary",1,True
circrna_104871,"arthritis, rheumatoid",1,True
circ-ash2l,"carcinoma, pancreatic ductal",1,True
hsa_circ_0001400,multiple sclerosis,1,True
hsa_circ_0006528,breast neoplasms,1,True
circ_103124,crohn disease,1,True
hsa_circ_0001907,"depressive disorder, major",1,True
circrhot1,pancreatic neoplasms,1,True
hsa_circ_0020732,adenocarcinoma of lung,1,True
hsa_circ_0052112,breast neoplasms,1,True
hsa_circrna_005086,active tuberculosis,1,True
hsa_circ_0000523,colorectal neoplasms,1,True
hsa_circ_0057481,laryngeal neoplasms,1,True
hsa_circ_0007874,ovarian neoplasms,1,True
circacap2,breast neoplasms,1,True
circrna-0004904,pre-eclampsia,1,True
hsa_circ_0002908,"tuberculosis, pulmonary",1,True
circrapgef5,"thyroid cancer, papillary",1,True
hsa_circ_406329,"liver cirrhosis, biliary",1,True
hsa_circrna_044353,repeated implantation failure,1,True
circfoxk2,"carcinoma, pancreatic ductal",1,True
hsa_circ_0059354,squamous cell carcinoma of head and neck,1,True
hsa_circ_0021549,"lupus erythematosus, systemic",1,True
hsa_circ_0002161,essential hypertension,1,True
hsa_circ_0002113,"tuberculosis, pulmonary",1,True
hsa_circ_0000488,"leukemia, myeloid, acute",1,True
circnrip1,stomach neoplasms,1,True
hsa_circrna_104310,infantile hemangioma,1,True
hsa_circrna_008068,prostatic neoplasms,1,True
hsa_circrna_100933,infantile hemangioma,1,True
cdkn2b-as1,inflammatory bowel diseases,1,True
circcep128,urinary bladder neoplasms,1,True
hsa_circ_100395,liver neoplasms,1,True
circrnf13,adenocarcinoma of lung,1,True
hsa_circ_0020123,"carcinoma, non-small-cell lung",1,True
hsa_circ_0035560,multiple sclerosis,1,True
circc3p1,"carcinoma, hepatocellular",1,True
hsa_circ_0000263,uterine cervical neoplasms,1,True
circ_101222,acne vulgaris,0,True
circ_stk17a,"epilepsy, temporal lobe",1,True
hsa_circrna_102336,urinary bladder neoplasms,1,True
circznf609,vascular endothelial dysfunction,1,True
hsa_circ_0101432,"carcinoma, hepatocellular",1,True
circ_usp9y,"epilepsy, temporal lobe",1,True
hsa_circ_0103809,"carcinoma, hepatocellular",1,True
circ_103546,crohn disease,1,True
hsa_circ_0000567,"carcinoma, hepatocellular",1,True
hsa_circ_0072765,liver cirrhosis,1,True
hsa-circrna5974-1,sciatica,0,True
hsa_circ_0005519,endometrial neoplasms,0,True
hsa_circ_0026372,diabetic retinopathy,1,True
hsa_circ_0003855,stomach neoplasms,1,True
circrna.22054,"diabetes, gestational",1,True
hsa_circ_0071410,laryngeal neoplasms,0,True
circ-pde8a,pancreatic neoplasms,1,True
hsa_circ_0003645,diabetic nephropathies,0,True
circbirc6,precursor t-cell lymphoblastic leukemia-lymphoma,0,True
circ-vrk1,esophageal squamous cell carcinoma,1,True
circ-ube2d2,breast neoplasms,1,True
hsa_circ_0051079,osteosarcoma,1,True
circrunx2,osteoporosis,1,True
circ-prkci,hirschsprung disease,1,True
circrna_001569,stomach neoplasms,1,True
hsa_circ_0025036,adenocarcinoma of lung,1,True
hsa_circ_0001801,glioblastoma,1,True
hsa_circ_0008106,stomach neoplasms,1,True
hsa_circ_0037251,glioma,1,True
circplekhm3,ovarian neoplasms,1,True
hsa-circrna11783-2,coronary artery disease,1,True
circ-dcaf6,stomach neoplasms,1,True
circass1,breast neoplasms,1,True
hsa_circ_0060060,thyroid neoplasms,1,True
circ-foxo3,glioblastoma,1,True
circnf1,stomach neoplasms,1,True
hsa_circ_0072088,colorectal neoplasms,1,True
hsa_circrna_104964,active tuberculosis,1,True
hsa_circ_0049657,"leukemia, myeloid, acute",1,True
hsa_circ_0004015,"carcinoma, non-small-cell lung",1,True
hsa_circrna_100918,t2dm with depression,1,True
circrna_003524,hepatocellular steatosis,0,True
hsa_circ_0108308,heart failure,0,True
circmto1,rectal neoplasms,1,True
hsa_circ_0000284,colorectal neoplasms,1,True
circfndc3b,urinary bladder neoplasms,1,True
hsa_circ_0032627,stomach neoplasms,1,True
hsa_circ_0006766,"osteoporosis, postmenopausal",1,True
circ-pax2,lung squamous cell carcinoma,1,True
hsa_circ_0006948,esophageal squamous cell carcinoma,1,True
hsa_circ_0091570,"carcinoma, hepatocellular",1,True
hsa_circ_0006916,lung neoplasms,1,True
bcrc-3,diabetic retinopathy,0,True
hsa_circ_0014130,stomach neoplasms,1,True
circscaf11,glioma,1,True
circ_004662,crohn disease,1,True
hsa_circ_082319,"liver cirrhosis, biliary",1,True
hsa_circ_0000267,stomach neoplasms,1,True
hsa_circ_104075,"carcinoma, hepatocellular",1,True
circwhsc1,ovarian neoplasms,1,True
hsa_circ_0005075,"carcinoma, hepatocellular",1,True
circabcc4,adenocarcinoma of lung,1,True
circ_ankib1,osteosarcoma,1,True
hsa_circ_0044529,squamous cell carcinoma of head and neck,1,True
hsa_circ_0100783,immunosenescence,1,True
hsa_circrna_100257,"arthritis, rheumatoid",1,True
circrna_09585,"tuberculosis, pulmonary",1,True
hsa_circ_0063781,facet joint osteoarthritis,1,True
hsa_circ_0023303,squamous cell carcinoma of head and neck,1,True
circplk1,triple negative breast neoplasms,1,True
hsa_circ_0000376,stomach neoplasms,1,True
circrna_0084043,melanoma,1,True
hsa_circ_0081108,diabetic retinopathy,1,True
circzfp57,prostatic neoplasms,1,True
hsa_circ_0072410,diabetic retinopathy,1,True
hsa_circ_0022342,chronic thromboembolic pulmonary hypertension,1,True
circ-anapc7,inflammatory bowel diseases,0,True
hsa_circ_101396,leukoaraiosis,1,True
circsmarca5,"carcinoma, non-small-cell lung",1,True
circabcc4,prostatic neoplasms,1,True
hsa_circ_0004846,osteosarcoma,1,True
hsa_circ_103047,"arthritis, rheumatoid",1,True
hsa_circ_014724,fatty liver,1,True
hsa_circrna_100834,cutaneous squamous cell carcinoma,1,True
hsa_circ_0001417,tuberculosis,1,True
circ-pax2,prostatic neoplasms,0,True
circdock1,urinary bladder neoplasms,1,True
hsa_circ_0040705,"lupus erythematosus, systemic",1,True
circ-ptprz1,glioma,1,True
hsa_circrna_100833,cutaneous squamous cell carcinoma,1,True
hsa_circ_0001649,"carcinoma, hepatocellular",1,True
hsa_circ_0000408,lung squamous cell carcinoma,1,True
circirak3,breast neoplasms,1,True
hsa_circ_0001368,stomach neoplasms,1,True
hsa_circ_0000467,stomach neoplasms,1,True
